Id;Title;Category;Interaction;Description
172;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
173;Potential Process Crash or Stop for Proxy;Denial Of Service;HTTP;Proxy crashes, halts, stops or runs slowly
174;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
175;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Proxy may be able to impersonate the context of Artemis in order to gain additional privilege.
176;Proxy May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Artemis may be able to remotely execute code for Proxy.
177;Elevation by Changing the Execution Flow in Proxy;Elevation Of Privilege;HTTP;An attacker may pass data into Proxy in order to change the flow of program execution within Proxy to the attacker's choosing.
178;Spoofing the Proxy Login Process;Spoofing;HTTP;Proxy Login may be spoofed by an attacker and this may lead to unauthorized access to Artemis. Consider using a standard authentication mechanism to identify the source process.
179;Spoofing the Artemis Process;Spoofing;HTTP;Artemis may be spoofed by an attacker and this may lead to information disclosure by Proxy Login. Consider using a standard authentication mechanism to identify the destination process.
180;Potential Lack of Input Validation for Artemis;Tampering;HTTP;Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against Artemis or an elevation of privilege attack against Artemis or an information disclosure by Artemis. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.
181;Proxy Login Process Memory Tampered;Tampering;HTTP;If Proxy Login is given access to memory, such as shared memory or pointers, or is given the ability to control what Artemis executes (for example, passing back a function pointer.), then Proxy Login can tamper with Artemis. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.
182;Replay Attacks;Tampering;HTTP;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.
183;Collision Attacks;Tampering;HTTP;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.
184;Potential Data Repudiation by Artemis;Repudiation;HTTP;Artemis claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.
185;Data Flow Sniffing;Information Disclosure;HTTP;Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.
186;Potential Process Crash or Stop for Artemis;Denial Of Service;HTTP;Artemis crashes, halts, stops or runs slowly
187;Data Flow HTTP Is Potentially Interrupted;Denial Of Service;HTTP;An external agent interrupts data flowing across a trust boundary in either direction.
188;Elevation Using Impersonation;Elevation Of Privilege;HTTP;Artemis may be able to impersonate the context of Proxy Login in order to gain additional privilege.
189;Artemis May be Subject to Elevation of Privilege Using Remote Code Execution;Elevation Of Privilege;HTTP;Proxy Login may be able to remotely execute code for Artemis.
190;Elevation by Changing the Execution Flow in Artemis;Elevation Of Privilege;HTTP;An attacker may pass data into Artemis in order to change the flow of program execution within Artemis to the attacker's choosing.
191;Spoofing of Destination Data Store Configuration File;Spoofing;Generic Data Flow;Configuration File may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Configuration File. Consider using a standard authentication mechanism to identify the destination data store.
192;Authorization Bypass;Information Disclosure;Generic Data Flow;Can you access Configuration File and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.
193;Potential Excessive Resource Consumption for Web Server or Configuration File;Denial Of Service;Generic Data Flow;Does Web Server or Configuration File take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.
194;Weak Credential Storage;Information Disclosure;Generic Data Flow;Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored
195;Spoofing of Destination Data Store Configuration File;Spoofing;Generic Data Flow;Configuration File may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Configuration File. Consider using a standard authentication mechanism to identify the destination data store.
196;Authorization Bypass;Information Disclosure;Generic Data Flow;Can you access Configuration File and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.
197;Weak Credential Storage;Information Disclosure;Generic Data Flow;Credentials held at the server are often disclosed or tampered with and credentials stored on the client are often stolen. For server side, consider storing a salted hash of the credentials instead of storing the credentials themselves. If this is not possible due to business requirements, be sure to encrypt the credentials before storage, using an SDL-approved mechanism. For client side, if storing credentials is required, encrypt them and protect the data store in which they're stored
198;Potential Excessive Resource Consumption for Vault or Configuration File;Denial Of Service;Generic Data Flow;Does Vault or Configuration File take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.
199;JavaScript Object Notation Processing;Tampering;HTTPS;If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.
200;JavaScript Object Notation Processing;Tampering;HTTPS;If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.
